Category,ViewPath,Substitutions,en-US*,en-US,"ref=""0""","ref=""1""","ref=""2""","ref=""3""","ref=""4""","ref=""5""","ref=""6""","ref=""7""","ref=""8""","ref=""9""","ref=""10""","ref=""11""","ref=""12""","ref=""13""","ref=""14""","ref=""15"""
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\GAU COT LIEU\Comment,,Gàu tải cốt liệu nóng,Gàu tải cốt liệu nóng,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\GAU COT LIEU,,Gàu tải cốt liệu nóng,Gàu tải cốt liệu nóng,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\GAU FD\Comment,,Gàu tải phụ F/D,Gàu tải phụ F/D,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\GAU FD,,Gàu tải phụ F/D,Gàu tải phụ F/D,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_AG1,,Hệ số cân Ag1,Hệ số cân Ag1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_AP1,,Hệ số cân AP1,Hệ số cân AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_FD1,,Hệ số cân FD1,Hệ số cân FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_SB1,,Hệ số cân SB1,Hệ số cân SB1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_AG1,,Hệ số nạp mô phỏng AG1,Hệ số nạp mô phỏng AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_AG2,,Hệ số nạp mô phỏng AG2,Hệ số nạp mô phỏng AG2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_AG3,,Hệ số nạp mô phỏng AG3,Hệ số nạp mô phỏng AG3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_AG4,,Hệ số nạp mô phỏng AG4,Hệ số nạp mô phỏng AG4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_AG5,,Hệ số nạp mô phỏng AG5,Hệ số nạp mô phỏng AG5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_AP1,,Hệ số nạp mô phỏng AP1,Hệ số nạp mô phỏng AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_FD1,,Hệ số nạp mô phỏng FD1,Hệ số nạp mô phỏng FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSN_SB1,,Hệ số nạp mô phỏng SBS1,Hệ số nạp mô phỏng SBS1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_TEMP TS,,Hệ số nhiệt độ 1,Hệ số nhiệt độ 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_TEMP AG,,Hệ số nhiệt độ 2,Hệ số nhiệt độ 2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_TEMP AP,,Hệ số nhiệt độ 3,Hệ số nhiệt độ 3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\HS_TEMP TL,,Hệ số nhiệt độ 4,Hệ số nhiệt độ 4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSX_AG1,,Hệ số xả mô phỏng AG1,Hệ số xả mô phỏng AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSX_AP1,,Hệ số xả mô phỏng AP1,Hệ số xả mô phỏng AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSX_FD1,,Hệ số xả mô phỏng FD1,Hệ số xả mô phỏng FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#5_WD_TIMER [DB5]\HSX_SB1,,Hệ số xả mô phỏng SBS1,Hệ số xả mô phỏng SBS1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\TEMP_T/T,,Hết thời gian đóng cân ==> mở cân,Hết thời gian đóng cân ==> mở cân,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. CUA DONG\Comment,,Input_Tín hiệu  cửa nồi trộn đóng,Input_Tín hiệu  cửa nồi trộn đóng,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. BTN\Comment,,Input_Tín hiệu băng tải ngang,Input_Tín hiệu băng tải ngang,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. BTX\Comment,,Input_Tín hiệu băng tải xiên,Input_Tín hiệu băng tải xiên,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. SILO FD HIGHT\Comment,,Input_Tín hiệu báo mức cao silo chứa F/D,Input_Tín hiệu báo mức cao silo chứa F/D,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. SILO FD LOW\Comment,,Input_Tín hiệu báo mức thấp silo chứa F/D,Input_Tín hiệu báo mức thấp silo chứa F/D,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN AG1\Comment,,Input_Tín hiệu báo tràn silo AG1,Input_Tín hiệu báo tràn silo AG1,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN AG2\Comment,,Input_Tín hiệu báo tràn silo AG2,Input_Tín hiệu báo tràn silo AG2,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN AG3\Comment,,Input_Tín hiệu báo tràn silo AG3,Input_Tín hiệu báo tràn silo AG3,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN AG4\Comment,,Input_Tín hiệu báo tràn silo AG4,Input_Tín hiệu báo tràn silo AG4,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN AG5\Comment,,Input_Tín hiệu báo tràn silo AG5,Input_Tín hiệu báo tràn silo AG5,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN FD1\Comment,,Input_Tín hiệu báo tràn silo F/D,Input_Tín hiệu báo tràn silo F/D,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TRAN SB1\Comment,,Input_Tín hiệu báo tràn silo SBS,Input_Tín hiệu báo tràn silo SBS,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. CUA MO\Comment,,Input_Tín hiệu cửa nồi trộn mở,Input_Tín hiệu cửa nồi trộn mở,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. GAU COT LIEU\Comment,,Input_Tín hiệu gàu tải cốt liệu nóng,Input_Tín hiệu gàu tải cốt liệu nóng,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. GAU F/D\Comment,,Input_Tín hiệu gàu tải phụ gia bột,Input_Tín hiệu gàu tải phụ gia bột,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. MNK\Comment,,Input_Tín hiệu máy nén khí chạy,Input_Tín hiệu máy nén khí chạy,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. NOI TRON\Comment,,Input_Tín hiệu nồi trộn,Input_Tín hiệu nồi trộn,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. SANG RUNG\Comment,,Input_Tín hiệu sàng rung cốt liệu nóng,Input_Tín hiệu sàng rung cốt liệu nóng,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\In_Put [40]\I_TH. TANG SAY\Comment,,Input_Tín hiệu tang sấy cốt liệu,Input_Tín hiệu tang sấy cốt liệu,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 7\Network comment,,"Khi khối lượng đầu vào vượt qua sai số dưới, thì bắt đầu đếm để tình thời gian Delay trước khi báo FU
nếu thời gian đếm nó vượt qua giá trị cài đặt (cũng chính là thời gian đợi chơ lượng rơi thêm), thì SET ngõ ra #FU_OUT

Chú ý: chế độ MAN thì nó không báo FU
Cân FULL khi giá trị cân nó vượt qua SS_DUOI rồi đợi thêm một khoảng thời gian rơi thêm","Khi khối lượng đầu vào vượt qua sai số dưới, thì bắt đầu đếm để tình thời gian Delay trước khi báo FU
nếu thời gian đếm nó vượt qua giá trị cài đặt (cũng chính là thời gian đợi chơ lượng rơi thêm), thì SET ngõ ra #FU_OUT

Chú ý: chế độ MAN thì nó không báo FU
Cân FULL khi giá trị cân nó vượt qua SS_DUOI rồi đợi thêm một khoảng thời gian rơi thêm",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\W_RTD,,Khối lựng rơi tự do,Khối lựng rơi tự do,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_AG1,,Khối lượng Cần cân Cốt liệu 1,Khối lượng Cần cân Cốt liệu 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_AG2,,Khối lượng Cần cân Cốt liệu 2,Khối lượng Cần cân Cốt liệu 2,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_AG3,,Khối lượng Cần cân Cốt liệu 3,Khối lượng Cần cân Cốt liệu 3,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_AG4,,Khối lượng Cần cân Cốt liệu 4,Khối lượng Cần cân Cốt liệu 4,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_AG5,,Khối lượng Cần cân Cốt liệu 5,Khối lượng Cần cân Cốt liệu 5,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_FD1,,Khối lượng Cần cân FD 1,Khối lượng Cần cân FD 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_AP1,,Khối lượng Cần cân Nhựa 1,Khối lượng Cần cân Nhựa 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#4_WD_WEIGHT [DB4]\SV_SB1,,Khối lượng Cần cân SBS 1,Khối lượng Cần cân SBS 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#7_RD_RUN [DB7]\WE_AG1,,Khối lượng cân cốt liệu 1,Khối lượng cân cốt liệu 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 2\Network title,,KHOI LUONG CAN DU,KHOI LUONG CAN DU,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\W_IN,,Khối lượng cân hiện tại,Khối lượng cân hiện tại,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_ZERO_AG1,,Khối lượng chỉnh 0 cân AG1,Khối lượng chỉnh 0 cân AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_ZERO_AP1,,Khối lượng chỉnh 0 cân AP1,Khối lượng chỉnh 0 cân AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_ZERO_FD1,,Khối lượng chỉnh 0 cân FD1,Khối lượng chỉnh 0 cân FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_ZERO_SB1,,Khối lượng chỉnh 0 cân SB1,Khối lượng chỉnh 0 cân SB1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_SPAN_AG1,,Khối lượng chỉnh tải cân AG1,Khối lượng chỉnh tải cân AG1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_SPAN_AP1,,Khối lượng chỉnh tải cân AP1,Khối lượng chỉnh tải cân AP1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_SPAN_FD1,,Khối lượng chỉnh tải cân FD1,Khối lượng chỉnh tải cân FD1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#6_WD_CALIB [DB6]\KL_SPAN_SB1,,Khối lượng chỉnh tải cân SB1,Khối lượng chỉnh tải cân SB1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#7_RD_RUN [DB7]\WE_AP1,,Khối lượng phễu cân  Nhựa 1,Khối lượng phễu cân  Nhựa 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#7_RD_RUN [DB7]\WE_FD1,,Khối lượng phễu cân FD 1,Khối lượng phễu cân FD 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#7_RD_RUN [DB7]\WE_SB1,,Khối lượng phễu cân SBS 1,Khối lượng phễu cân SBS 1,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\1.ANALOG_INPUT [FB1]\Network 7\Network title,,Kích hoạt Chế độ Thủ công (SET),Kích hoạt Chế độ Thủ công (SET),,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\W_DU,,KL giới hạn dưới,KL giới hạn dưới,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\W_TR,,KL giới hạn trên,KL giới hạn trên,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7. SAVE_REPORT [FC7]\Network 1\Network title,,Lưu dữ liệu Cốt liệu,Lưu dữ liệu Cốt liệu,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7. SAVE_REPORT [FC7]\Network 3\Network title,,Lưu dữ liệu Nhựa,Lưu dữ liệu Nhựa,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7. SAVE_REPORT [FC7]\Network 4\Network title,,Lưu dữ liệu Phụ gia SBS,Lưu dữ liệu Phụ gia SBS,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#8_RD_REPORT [DB8]\SAVE_REPORT,,Lưu dữ liệu trộn,Lưu dữ liệu trộn,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7. SAVE_REPORT [FC7]\Network 2\Network title,,Lưu dữ liệu Xi măng,Lưu dữ liệu Xi măng,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7. SAVE_REPORT [FC7]\Network 5\Network title,,Lưu nhiệt độ,Lưu nhiệt độ,,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\MNK\Comment,,Máy nén khí,Máy nén khí,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\C#1_RB [DB1]\MNK,,Máy nén khí,Máy nén khí,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 18\Network title,,MÔ PHỎNG CỬA NỒI TRỘN,MÔ PHỎNG CỬA NỒI TRỘN,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\2.MANUAL_CONTROL [FB2]\Block title,,"MODE=0 thì nhấn dạng Toggle, MODE=1 thì nhấn như một nút nhấn thông thường, nếu RS=1 thì ngõ ra sẽ bị Reset","MODE=0 thì nhấn dạng Toggle, MODE=1 thì nhấn như một nút nhấn thông thường, nếu RS=1 thì ngõ ra sẽ bị Reset",,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\Q_XA W_IND AGG1\Comment,,"Mode=độc lập, Van xả cấn AGG1","Mode=độc lập, Van xả cấn AGG1",,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\Q_XA W_IND AGG2\Comment,,"Mode=độc lập, Van xả cấn AGG2","Mode=độc lập, Van xả cấn AGG2",,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\Q_XA W_IND AGG3\Comment,,"Mode=độc lập, Van xả cấn AGG3","Mode=độc lập, Van xả cấn AGG3",,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\Q_XA W_IND AGG4\Comment,,"Mode=độc lập, Van xả cấn AGG4","Mode=độc lập, Van xả cấn AGG4",,,,,,,,,,,,,,,,
<TagCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\PLC tags\Out_Put [83]\Q_XA W_IND AGG5\Comment,,"Mode=độc lập, Van xả cấn AGG5","Mode=độc lập, Van xả cấn AGG5",,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 1\Network title,,MOVE INPUT,MOVE INPUT,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\7.WEIGHT_PROCESS [FB7]\Network 1\Network title,,MOVE MAC,MOVE MAC,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\Main_P1 [OB1]\Network 2\Network title,,MOVE OUTPUT,MOVE OUTPUT,,,,,,,,,,,,,,,,
<BlockCommentCategoryData>,BTNN_VACM_V1_1_relay_dp4_AnSon\PLC_1 [CPU 1214C AC/DC/Rly]\Program blocks\1.ANALOG_INPUT [FB1]\Network 4\Network title,,MOVE SPAN,MOVE SPAN,,,,,,,,,,,,,,,,
